x,Curve1
0,-79.8475
0.1034,-78.5268
0.134,-76.8085
0.1646,-75.1022
0.1952,-73.709
0.2257,-73.277
0.2563,-73.1331
0.2869,-73.1182
0.3175,-73.171
0.3481,-73.2666
0.3786,-73.3952
0.4092,-73.5529
0.4398,-73.7394
0.4704,-73.9581
0.501,-74.2199
0.5315,-74.5584
0.5621,-75.1098
0.5927,-76.7801
0.6233,-81.2748
0.6539,-81.563
0.6844,-80.2157
0.715,-78.4057
0.7456,-76.7349
0.7762,-76.3567
0.8068,-76.0838
0.8373,-75.8244
0.8679,-75.561
0.8985,-75.2827
0.9291,-74.9763
0.9597,-74.634
0.9902,-74.2656
1.0208,-73.8907
1.0514,-73.5414
1.082,-73.2651
1.1126,-73.1185
1.1432,-73.236
1.1737,-74.4538
1.2043,-77.733
1.2349,-78.9801
1.2655,-79.1057
1.2961,-77.5729
1.3266,-75.8353
1.3572,-74.0176
1.3878,-73.1543
1.4184,-73.4143
1.449,-74.8128
1.4795,-75.8632
1.5101,-76.7425
1.5407,-77.9213
1.5713,-79.2633
1.6019,-80.5076
1.6324,-81.7354
1.663,-83.0305
1.6936,-84.337
1.7242,-85.3838
1.7548,-86.2611
1.7853,-86.04
1.8159,-82.7302
1.8465,-80.046
1.8771,-78.2847
1.9077,-77.3645
1.9382,-76.9388
1.9688,-76.7583
1.9994,-76.6294
2.03,-76.3137
2.0606,-75.7194
2.0911,-74.973
2.1217,-74.2662
2.1523,-73.703
2.1829,-73.3307
2.2135,-73.1755
2.2441,-73.2466
2.2746,-73.5
2.3052,-73.8965
2.3358,-74.4235
2.3664,-75.1103
2.397,-76.3737
2.4275,-78.4604
2.4581,-79.2871
2.4887,-79.762
2.5193,-79.8677
2.5499,-79.4887
2.5804,-78.7114
2.611,-77.9881
2.6416,-77.954
2.6722,-79.2497
2.7028,-81.5819
2.7333,-84.0173
2.7639,-84.8549
2.7945,-79.5925
2.8251,-78.5874
2.8557,-78.4825
2.8862,-78.6646
2.9168,-79.0012
2.9474,-79.4499
2.978,-79.9997
3.0086,-80.6722
3.0391,-81.697
3.0697,-82.8148
3.1003,-82.9414
3.1309,-82.9927
3.1615,-83.0067
3.1921,-82.9909
3.2226,-82.9461
3.2532,-82.8696
3.2838,-82.755
3.3144,-82.5891
3.345,-82.3436
3.3755,-81.9563
3.4061,-81.3227
3.4367,-80.1848
3.4673,-78.5978
3.4979,-77.7819
3.5284,-77.2601
3.559,-76.8126
3.5896,-76.4214
3.6202,-76.0942
3.6508,-75.8573
3.6813,-75.7675
3.7119,-75.8986
3.7425,-76.3073
3.7731,-76.9732
3.8037,-77.7275
3.8342,-78.2633
3.8648,-76.7658
3.8954,-74.9077
3.926,-72.9897
3.9566,-72.4805
3.9871,-72.5798
4.0177,-76.222
4.0483,-77.0777
4.0789,-77.2773
4.1095,-74.0359
4.1401,-71.87
4.1706,-70.0593
4.2012,-68.8933
4.2318,-69.2636
4.2624,-72.5635
4.293,-75.0798
4.3235,-76.357
4.3541,-76.5834
4.3847,-76.4794
4.4153,-76.2661
4.4459,-76.0109
4.4764,-75.7473
4.507,-75.5107
4.5376,-75.4067
4.5682,-76.9874
4.5988,-78.9437
4.6293,-80.2394
4.6599,-81.2309
4.6905,-81.9663
4.7211,-82.6326
4.7517,-83.26
4.7822,-83.251
4.8128,-82.4213
4.8434,-81.0959
4.874,-79.5748
4.9046,-78.1371
4.9351,-77.0546
4.9657,-75.3654
4.9963,-74.0128
5.0269,-73.0043
5.0575,-72.1994
5.088,-71.7071
5.1186,-71.5079
5.1492,-71.535
5.1798,-71.7248
5.2104,-72.0855
5.241,-72.874
5.2715,-74.5039
5.3021,-74.5581
5.3327,-74.3507
5.3633,-73.741
5.3939,-72.3626
5.4244,-72.5157
5.455,-73.4834
5.4856,-76.1093
5.5162,-76.9193
5.5468,-76.5168
5.5773,-72.5066
5.6079,-71.622
5.6385,-72.206
5.6691,-72.9154
5.6997,-75.6897
5.7302,-78.7447
5.7608,-81.1071
5.7914,-81.9881
5.822,-80.8265
5.8526,-79.1539
5.8831,-78.1489
5.9137,-77.7036
5.9443,-78.0259
5.9749,-77.0751
6.0055,-74.5404
6.036,-73.9755
6.0666,-73.4521
6.0972,-73.0254
6.1278,-72.8109
6.1584,-73.1281
6.189,-74.4314
6.2195,-76.484
6.2501,-76.6274
6.2807,-75.3001
6.3113,-74.1862
6.3419,-74.3672
6.3724,-75.7258
6.403,-76.3077
6.4336,-76.6026
6.4642,-76.7362
6.4948,-76.7477
6.5253,-76.6542
6.5559,-76.4783
6.5865,-76.2535
6.6171,-76.0058
6.6477,-75.7544
6.6782,-75.5136
6.7088,-75.2938
6.7394,-75.1025
6.77,-74.9383
6.8006,-74.791
6.8311,-74.6518
6.8617,-74.5117
6.8923,-74.3597
6.9229,-74.1772
6.9535,-73.9173
6.984,-73.3264
7.0146,-71.9063
7.0452,-71.7976
7.0758,-71.9564
7.1064,-72.5964
7.1369,-74.2034
7.1675,-73.9709
7.1981,-73.4227
7.2287,-72.3364
7.2593,-71.2762
7.2899,-70.9111
7.3204,-70.9124
7.351,-71.4512
7.3816,-72.5699
7.4122,-73.5477
7.4428,-74.4088
7.4733,-75.5039
7.5039,-76.3329
7.5345,-76.8357
7.5651,-77.165
7.5957,-77.3189
7.6262,-77.1148
7.6568,-75.734
7.6874,-74.0295
7.718,-72.3003
7.7486,-71.7553
7.7791,-71.3833
7.8097,-71.0871
7.8403,-70.8404
7.8709,-70.6314
7.9015,-70.4532
7.932,-70.3013
7.9626,-70.1728
7.9932,-70.0652
8.0238,-69.9767
8.0544,-69.9046
8.0849,-69.8464
8.1155,-69.8006
8.1461,-69.7662
8.1767,-69.7427
8.2073,-69.7302
8.2379,-69.7289
8.2684,-69.74
8.299,-69.7652
8.3296,-69.8079
8.3602,-69.8749
8.3908,-69.983
8.4213,-70.1876
8.4519,-72.6862
8.4825,-73.6154
8.5131,-73.7108
8.5437,-73.4233
8.5742,-73.0658
8.6048,-73.485
8.6354,-74.9201
8.666,-74.922
8.6966,-74.1824
8.7271,-72.2369
8.7577,-71.6828
8.7883,-71.2757
8.8189,-70.9454
8.8495,-70.6847
8.88,-70.5087
8.9106,-70.4746
8.9412,-70.7549
8.9718,-71.5625
9.0024,-72.3855
9.0329,-72.8563
9.0635,-73.1351
9.0941,-72.523
9.1247,-71.5658
9.1553,-71.0477
9.1859,-70.6145
9.2164,-70.2124
9.247,-69.8232
9.2776,-69.4363
9.3082,-69.0422
9.3388,-68.6286
9.3693,-68.1705
9.3999,-67.581
9.4305,-66.5588
9.4611,-66.2178
9.4917,-66.2855
9.5222,-66.4254
9.5528,-66.6046
9.5834,-66.8147
9.614,-67.0556
